dataset,repo,hash,message,is_bugfix,isBugfix_stemming,isBugfix_qwen3.5:122b,isBugfix_codestral:22b,isBugfix_mistral-small3.2:24b,isBugfix_codegemma:7b,isBugfix_gemma4:12b,isBugfix_qwen3-coder:30b,isBugfix_qwen3.6:35b
bugsinpy,PySnooper,15555ed760000b049aff8fecc79d29339c1224c3,Fix #2,true,true,true,true,false,true,true,true,true
bugsinpy,PySnooper,56f22f8ffe1c6b2be4d2cf3ad1987fdb66113da2,"Fix unicode issues and add test, fix #124",true,true,true,true,true,true,true,true,true
bugsinpy,PySnooper,814abc34a098c1b98cb327105ac396f985d2413e,"Support single tuple to `custom_repr`, fix #144",true,true,true,true,true,true,true,true,true
bugsinpy,ansible,056aac1e3012d0e65991b73f2478b844b7cbdfc8,Minor fixes in galaxy command for collection (#59846),true,true,false,true,false,true,false,true,true
bugsinpy,ansible,b38cb37728df76e0529243bdce694b18ca0e1163,Transform octal escape sequences in mtab fields (#60122),true,false,true,true,true,true,true,true,true
bugsinpy,ansible,93d9d640380252084855885ad27873b4377898ec,facts: fix double-counting of CPUs on POWER systems (#58360),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,68de182555b185737353e780882159a3d213908c,eos_eapi: Added fix for bug # 51144 (#63632),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,7acae62fa849481b2a5e2e2d56961c5e1dcea96c,Fix up role version pagination for Galaxy install (#64373),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,694ef5660d45fcb97c9beea5b2750f6eadcf5e93,Fix using a URL for galaxy collection install (#65272),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,2fa8f9cfd80daf32c7d222190edf7cfc7234582a,Fix env lookup plugin error on utf8 values (#65541),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,52f3ce8a808f943561803bd664e695fed1841fe8,allowing banner without stripping spaces (#62573),true,false,true,true,false,true,true,false,true
bugsinpy,ansible,a4b59d021368285490f7cda50c11ac4f7a8030b5,pamd: Fix AttributeError when removing the first or last rule (#66398),true,true,true,true,true,true,true,true,true
bugsinpy,ansible,6f1bb37feb81acd99157f5ba0933fecd747015a2,"When no pool quantity is set, then do not set quantity to 1 (#66807)",true,false,true,true,true,true,true,true,true
