hash,isBugfix_mistral-small3.2:24b
7726bf2be3c7b1fe78a45284ecdaa09b7bcea4c9,false
8d5cb263b9c355bd65df2c1b373cad0817d164f6,false
95a57c21a104687f048a1943696832714714d107,false
f98a9471e21bfcede4e53f0ae37fde57be0fa707,false
204dd61aeaac41c7662bc7183fe3cb93eb1a2dec,false
d130f40b4e83417d93f6fb1b0108e4f6fbedd148,false
346b0fca466b9bf3f8f4ef533cda88576f689ace,false
ecad417021a2a98bc03b4a85b1801ebb5cbe484a,true
eeeae3c60749533f08df99d61e719308ea519c59,false
16f82f1a85fe5d9111f1e143656988ac30e1ece6,false
0327fb71fdb69ca4a9f6b99fe5b4a6ce65ea48e9,false
b649ad67f6daf075ac74c6ecb5e907a89304448d,false
45cf5bfa987d0687dcef28db9bd78251307868a2,false
81cf478ac90ae7bfdc9059ecfbb455667230d3f6,false
e9cee6ab83f11513b77c5035ab833e0e4233d773,false
1c8c45629ea299edcc943455d2f7cae4f3ba1e6b,false
40412d3f6e7329cde44cb5682e212dacca5f4e17,false
fc74c89ee0558ed707fa717951f8ef495991aaf4,false
5aeab26bcc867d48668266bfada6e532b35097b6,false
d520a4ccdfbfcaaff10960d9450fb60d4283a1f5,false
127ca4df1525eceab12f099feb8d1048b593745d,false
e256b780839131b4d1498911ea259aa6af1d270b,false
edcf34170951a33b73f9dfab25fc2a15b2d9a02c,false
b9d462dabdc5967ea0372fa88c78dd627cbe3aee,false
31662a97d371fe2bee1e720a9fdb470dfac9386d,true
dfe86f229d6840d43f95c0176dcdd76330972d7c,false
35b847dc556090c667b3ee4b6e4d3154291e220e,false
87b7d5abba068e99cfe292c4ba4a7f1669f3cc5a,false
dd3dcfa035a86a4a7b24d79930ae1a6d7697db6c,false
ccc1e9fd09441a3d90d9e99d86b3110ec433b8eb,false
ccc2ac487366245d718bbd4a0ee3a861fc355ba2,false
f0da991098607fbeb1039d419259c7fce2208922,false
8e9df01541e8dc7bd2dabe9f6f23585d9b1687d3,false
3ae47632f352e5251df061d7b7b80fee5d582d05,false
7d9632039639403ce739b9f82d7fe2a86396f1c0,false
d1e6275c57ee2229c01d5ade99e1a31eda0c0154,false
a903860f4698c240ff1aac191b1bcad497bdb49a,false
2b32f33b90546fe2ce4561a39046134aeff9f713,false
048d154a1566d4a164ab3a8eb034eca65cec3bf0,false
240d49a856a47d64f51f009b372070aee03eacf2,false
d3e89f108f8a63dcb9f99404613bff42cfa4183c,false
f64991c8ec734f64be488828d2675287c7025522,true
997d34a6c57fbfda3b0bba4b6c4e9e251ede6a45,false
648ca6eaedcfdf2222319cb5f7136e549fc85e7c,true
83b60acdd47786fe94a3a3a5de506484b50c2851,false
3be3bbd288a91f78c9f1b5395af572b396b48119,false
1a470e7a3a945b40089d3ffe5b730d4ba6354e06,false
b02462f4464c19bfec9da7e596b33d29610f9632,false
7516fbf351d5cf57786ce183cac5dacfd463eb9f,false
9c0d95953da046b4bebfc9a5c3e5b0df18cd5d9e,false
ce2ee0df7ba611d45dfe242b46c2c240e65593bc,false
b2fedf5064f577543e558a8b57b632d06ef99335,false
6bc7fa96eb396af102aa97562cca7cd55795980e,false
6710c3d630d12a7286cce59d278b7bc3a237d50f,false
9e9a39cb4eb1385289555ff48c0385bbefdcae47,false
e688c287102b9ff970a719a6e5a43bdf26c3f9fc,false
42db31efe46a47efca571fc69a4c03123da9740c,false
004df84433d82a2488c4bd676b460d266aeeac36,false
3e0018d0ae86118d020e339a6eeaf2be21a2be37,false
43716257659fa59f64a586461204db3d4f124c5d,false
5ef48435c45d53e6fdc5df538f77fdba628081e5,false
8d479e76375e323e1b316be7d63cddced8f00e91,false
65bf1f73b061c2e34cd594de654c93e609880776,false
ce4d4a4a9ecaa874e9881590a8f5d497a74be0d4,false
44fe91a1768afcda18fbcc20aa5d29f3c83d8eb7,false
d57d8e9c282909d2a4531da6eb51d1c745787eae,false
b585bf1e9610818f797517014b2eb6d3d1cc86d8,false
41c137f5381482981122ccdab67d1531df92aa01,false
38241bcf1828df0563dff98fe64bca4a2779ed2c,false
1b56f6161ef5e4e4f4a888271b8573fd7f7c2fa1,false
e948d7c5910ebb93b56019e6c7c89e160a4e48ef,false
834a0c52990160f20d4063d80979587e5a254b7d,true
42e1c79938cb6fba902e7e1aa2e763f3ef9af371,false
cc8ccec35caf61987559731f4eb7e56bd93f9dff,false
8e5f6f54cf56a831689e97f15d624b0b4147bfa8,false
06316f5e0d486258e71b092d6c48b1aaf6c54fa5,false
d6fac59962931ef294a9db7ccecc88fa2c77c4a4,false
05c7a538ac8d1466e2986a0cbc1eaceb0d5fbda6,true
aad122374cde83033ce99aeae8b023aabd37d110,false
b80fa460c3b6d6192e6abe016fae425fd1b1bb1d,false
dd311bbe8c596a77cf56aa7fbe1fefa7bf2744ae,false
fb8659f32cf6d08e3a12b1ca880c072b46be2216,false
39f8f78151c32668a0f7dacf84eef7caab9a92c4,false
9433c03c5dd88af523a040c90d3d703fa38cb4c1,false
