hash,isBugfix_mistral-small3.2:24b
05adb770263dffe5aacb34b5cb3047ffcee759dd,false
10d91db7267465ee38edb044b0cb85a050383eba,false
045a1d27514912d50484cb6ab8a02bd2665f30dd,false
4e5c6eaf2b1737942cdc33ebc1f14910589b5798,false
038a4aaaf24199eb0f7ae5aab0a53f951a4a5aba,false
5bdce0003d1dd1fa696cfc632ff5fee2c73a553a,true
ed7c9cbd4bf1d55dfdda79335c66ceae2c837452,false
202f4a2cf1171768bb84e6eca20e9c56fc32df2c,false
95f2643369798f3273cfba2e327fecdf9b9c5ac6,false
ca1a1df53e0632a61f9caebc3198755cde53a967,false
d12591e712d69dfa1191a446cf45d98571ddf098,false
a6b3efdecae6ae06b80b4a6f43ec285c812ffe3b,false
000e1a58b78bfdba4cf14c8cd315f1e8c37be79c,false
5484b0782b9cd35aa213b9fc94b078ebc9b26504,false
2d77247ad6f86323b76492d6323d3f2085c7fe06,false
0555fa7a32bd9cded0079f875e4b9ab3953aac8a,false
190905a5f3a6d8f91f42dd537c9360c0a1e03979,false
9d7b799c3080b6d6986b5551c61b9113e7c0c23d,true
bd639689ee9b45b6f177e917b03396096ebb4684,false
2dd6ec4ebb1b6e20635909cd80e4bb41981192e8,false
5a77535278fcdda5f813705c7f9f35f5f99a76eb,false
34afa438e1e0f94d69cc23552417060c818ffde1,false
f3b0335130117740f1ac414e7ae6aa9be6305c40,false
40ffed04ee759105c6fe0ce287b6ba4ef9420e8d,false
c7d7850d2a4e73869f992769079d35c36bb0ab1f,false
df2f43b27eaf7831f05cb6460e7e67b6cd666032,true
c73284ebab79d64decfd9ef40b0404794411cb07,false
899ea4849d56bfa2c8b142e821f8f346f961c671,false
771107ad3d8da3eb63df4224139d01474223ab89,true
18d7b3ad6e07addb77ef60c2e622027ba954c517,true
0e9c459d1e3a4f7391faff45f3fcf1aa85e9aea4,true
a806a40a22f9fea52aaac515f9fd98c4975bb5d2,false
2546b6cc9036c40a5372e09961f2293b28e1c3a9,true
ce163e566d91a907d7ce8c3bdff70226956dbab7,false
62643fa74ac93833173930bf282b25a3cc0fb400,false
b3c7982718c29f0b74a0b6a3a8e81521b5b45575,false
d4fade48c89fab556d78ec68e98631b50ae0998d,false
52cbf466c4dea636b2a52a0f592f90b7f4dd887a,false
0b1998397d3699f8dbb759b34165614150394d7b,false
d53ff9047a632cef3f1b8f0fec5b8fe1a8f11db6,false
34554b1ce94e533449c41ffefed9fc2ecb211019,true
5a023a538ace95823792f7fe2682436f0b4bfce7,false
c7da7804ff27ac05970a1125cd621b10b767b2f6,false
eb283ea21b68d377914c21f0ad914a8fc3887d6b,false
1566f28328eb9b0e362970657492e093fd359722,false
966c21f9b8985c32ce670aaaca2b87789aa9550c,false
ce2ab77589f1f2c0743bfa94cb8465e9dc004d67,false
650563ef25b45dbd9599a41e0a7dc6101f5d003c,false
411bdd18ae022c1a1d1fe04836daf3c50b7ac71a,false
9d0bdaef87505526d1be706857fd9a985005c64f,false
9c80e462719eba71059850f9a63770de5430c99d,false
b92df456de539386eaccd674bfbf91989183a956,false
d71b8015cd24ecaff10ef74260d96ba3de3e38b2,false
57cc4fb13ede549fb95ca95e328cc993557d271f,false
b29b55d5a06ef4a12f69443a53d0f714af1a21fc,false
22feb92183b9358927eaaf3daaed3279448afc37,false
