hash,isBugfix_mistral-small3.2:24b
503cede15eb8a5877a2e91a639286dbfcfb86fbd,false
7a1c825dcbeaa939a744f8b77facef25782501da,false
a19453c961dfbdcb2238fa2d1f98be1e29132f3c,false
1586f461bef88721a42e866dcbd8a4e8abbf9ce0,false
a4e75a6c7d6d3d3c78e25323c1085989fb6a11b8,false
1548065b7f953523fd3783cdfda519e4e0c989da,false
5ce263c2b5cc9492532e698559f7beff51909e70,false
bdfb480279e7e19254e846ce1a9996fab285b866,false
f7b3f2998dc0b4fd734ee5ce7567cfd92840aa08,false
c3681df76cc27a3a68a12c4ab9322934fa7fb024,false
79e6f46183a33b2ed85546f506a6ff49db480221,false
e1fe001a22000dcd7d4523d39ad64406d1423bc1,false
32e85e81e9778f3efd62f11fb4ab7227792f0bda,false
33e9de654b7dc9e944aa4065dc28040f1ed1c692,false
2e45334ee2232e58ae552c01cdf780019d238230,false
a9c523f9b8fa1999c7d661a575b4c0ddf9152bb0,false
b77ceeac56a4df8839f82052ab16b3e850cc90cb,false
c30aed554f96d7221f033d3f7d1ffd5c8811e6db,false
2f3b8659bac76ea34e3640ab740593e3cccaf58a,false
729d9afac306fcae9d89ed608ec85a9c211ac6d2,false
74b121539d2a1b2ae29e0851bef8055f030b2e35,false
7ff2acc79f8b630eecb474d29394b4b09d36a8f8,false
bbb2e738fc7ee0fd56f838099b8dc4287dc408f6,false
ec227c3d2ab11cf937cf68d91ae607dd48cd38a8,false
18750c5c9cafc4828992b151aad667396d66c914,false
ae045d48221465bbe449a516142ae499348c12d2,false
75dd88cf5d8e7a47838a9546436fc88c3bf73d2c,false
612b9c2dda136613779b80331cf90e432e7f7694,false
915191899d5bedc2867df46a135cd0c4e9c3f195,false
e26e1db98c638d6aa333bccc30e2a9c00633febd,false
28f3e1e01c65dd33b6638fdc54f449a97f734326,false
595fc8e7432fa71cf24fc959478b9ce5dc7619ed,false
522ed2a79891207f72b32433cb8b65f8476292ff,false
b7d45f9d185ee4b1c152fd826161b25dfa361f4b,false
3cbcc8c32458f8956d319bfc551959dea2e269f1,false
4952849526df5a42aaf4cef436f3485cfe5a72ef,false
5f10102c396fef2fba099c5e25759f20aa65e442,false
fa63da7e062b5a037017de5ebec5b1abf186843a,false
6c8a6c8e7b65ebb1733430e64ad75f87c3902931,false
2c8ea5d368a22f335f4787cbf9a900b898c44394,false
362cf14d49754bb9c49781bbd7f18d2ed5f992fd,false
44d19f837da88ee3e30736fa787db96aa256dd63,false
23922d6ab7d0b25c5ddfb7981e3e7ab123558c13,false
8b8dc45e340c7787477e56afe493bed6d8e635a0,false
04d491a0e6f33545fafef88d54a2059deec9c97b,false
6fdff819a1c965738de2f510bd794b733996662a,false
1be813634769426ece6463617820025a4d85fb93,false
4a40ec71c9d2966627e6eb7af503be4034553ff7,false
579aefd31041c289c71688831e32520a70a89f1f,false
15a947f4ae9adf5e908aaa0d8116e4e8db5a227e,false
135e016eba84ca6a54121c6ad31bf2bdd3cdc3e4,false
85c4626d5b3c787aeeff51351e85385143bba136,false
1738831d27716e2ef2d4d785da25bc5a6f9ef4c4,false
92c15637b20e2152bbf417955fbbdfc17409e2ee,false
d19466db4b370595631bafc7abdcac7178b3d91b,false
93f9a34175e62c0dfdbff7ca75184fefae530e4a,false
72d9841baa68e85faebab85546a3c8a6dedbb9a4,false
7c9c39c3f82d095244f66cad3779213d455f8d5c,false
c9ec2bb2c537b1d583c862255b119315ab840361,false
5c9a3a730c14f08d174b94efb9fcca9aea610981,false
142af2fac8cf342cab49a4609a58708cd0915e11,false
4f673117af98672ca73acac58cb4e735fff11ad4,false
acd4a4b0d46dbc7a84845f9c06bd7dd8978f09c4,false
