hash,isBugfix_mistral-small3.2:24b
b60a58a1d0552a4a9f63cde3d831ee6e7fe30eea,false
7320e6f5ba8114f927eeeed9f0b11ecd2041f414,false
2eb7fee1524c654f99b7719ffb8b950fb4444eae,false
cc3dc0512e2e25c0d56d2a48987fe3e691967d68,false
c603dd75928f132a546d114c79a5f0efd9c0e179,false
cd394fd4d826ca434f4599603f0bdc471ba7175d,false
54ae0a69725775cbd71fd370d433dde844f4503a,false
c5cb697572c2ef9e0a2b9629bb386bbe2d279b88,false
2aeb4f28cf15c87030dee39bb20b4f1e191545db,true
52619c9873c7f83d9fe54bf341b60819a412e1d3,true
48e0c1b910d5b23ca4b171130de191b51efeddc1,true
6ba410be768a39e210ba04a1cdcb52854e15fa0a,false
d24adef1cf0a497b352a86bf5683cb991a582e46,false
d0d4bb7beb3f69bf9fdbcc0a75b195ea6353c587,false
744dea511cd74d89427d515d2b9d0bcf977258c6,false
610f1052e5dc1be5e6b4c11b541afe74864eec27,false
4bad2cd3f19a3112081b087268c36ca5cff1fe56,false
27ff89e64946508bc3ae4d29cf09f824b631a3cf,false
f2294e62586ec4a612c5996d9caea25fb3141ebf,false
decd09f35b89d0cd70579011734d8f46eca6354b,false
ff2007f139b1d183331c24481807281319821043,false
a6bb7eaa8545f408236f851c3b6fe58e219d425b,true
28cd3239ff0e182c6b8596d7ddd2a18879adcf98,false
118461b3a45026ee816d74d20e118f541311883f,true
42d3d2b010814258a6b0baed6201f5e02da4ebac,false
4c3a5262dc7d99f6ecc912a8ae8d3ead5cf17ced,true
c1dd5e42c56953130c21599ff8157b5c59866246,false
4174276087f2cede34c213e36e3e964faf1aba26,true
8f4ed81eb9fd932a50dfcd0fdb0a26058299aba4,false
4c8d77fc74ed346661605902b16931d2f9c20328,true
2989c0d6f6e93549aabecdbdd5cd7dfb40a438ac,false
ecd236cf9af9df8a842901ba5487588bc032850a,false
f019ba33bdace8e0bb918bf85d1f8981182f1a3d,true
ee73e9177ff88bf9de19f7d3ea4e17c720e34f3d,false
9c556f33c5b1746a6fe82f0a6fca5997129e8cf6,false
6d6a59afcf5a0f3b9a793a66a6284341c29b517e,false
e4fffd9c11e501d7ac2a7cee36466f959586b9ce,true
343f5093c7911d2222702ef504a55c7ba30986bf,false
1963b35eac7adec0dcabb4f81e28d5f096426ff8,true
3ee44ff23fcfaf1923f0301ca98df3e9ab576144,false
c3bbf5b2fba2a205ae0d7c1cbedb6b571f712d7a,true
c4540a2bec68ce65c671b84d821735c3bc6275c5,true
7ad04320d212147bf864d231a93d0f37fae2c6b2,false
fb2ce921ffc2bd524b59e8b84328cd148c7f9190,false
85730f5814c6377bde1d78cd1fcd8b8ab3a2a9f3,true
6b74d16368665080525322bb12ed8e73564b1aa8,false
5081f83dc516aee6c065ab979d9c672a6e9ad339,false
71307c11cf7e2d96b1dcdfef08ee6ce498bbb45d,false
71b2866d6539b7e90e2c19d7866fa89b9c00eb73,true
fa1efdfa8ff8ed19a050d8aa3db02ca70bbe9d23,false
2e24f192b1392b8cadaf777808430b66dac0deec,false
6b06cf5161af89daddea31330e959c2f27a2c390,true
f18d60daaf288f7e227d590a95f0b514a4369e65,false
d6b800bf0979d77f10a3de08ed87f8561f3d68a6,false
5e726656615071663920140a9f6d18a2c1e65282,false
59550d4f401a8d5bd98a6303f6a0dc341a37d2f6,true
5a6a38d78ae8448c2f3a1fc3c221a9b367c57ef9,false
b837ec820ed52a001fdc309ddde021a68489fbff,true
f7b0e9745abce046c4437b6bab494f2c299f8cb3,false
f8308460942e136cd4515a43b840b3cf80f26deb,false
8d54b3777d540457e179e753c89e24478a443606,false
2c7c36fd5ff0b486b44b4b97ade2eaced34766ac,true
4c251481edccec444fe834326dd9d5d2a8de1461,false
5e2eda737bb40da435cbfc30b5c234773326e58e,true
b72040c93d6ffcb1b53cd1dc9ee6f2e488819ef5,false
812eb43eb28d624b0b3b8349a38449a06cb5880a,false
da90da01748e0538035d9b952c3c301caa9af6de,true
bbc21deafae34e9015912701e8eebb6bee07c295,true
e7d705f4c78227b72762c42aec8a8b4baf1c1e8b,true
4fd73932b373ff6f9ae9745302249b5e6722b75b,false
3425c153a06e427372a1a7b35a6637af2c28b3c2,false
9fa4576e36e0ed40d7b1e9e3379eb977186a3224,false
431d49dad5c7e73fc20a63e0865a12528afcf9d1,true
301d65fdb6b33bfabae2f190260c3fa4b11ef230,false
d5ae91ddc13b15ca07b14dcdcb49218d76db217c,false
1123b519e0aa910569f801d7d2545c1aaea1266d,true
f971900ca3edc1920850d5ee2c6a06256f5d01a1,false
e149c04b16a1977e0e1d160bbf7bc2f9e66ba85d,false
b1b73c7322fd1d746837b3341815433b57b7c215,false
f9302f3dc96c8c3bfd0e979d00ac44456851d5af,false
932fc5f59db39918959e5f9169fd12434990b0f8,false
d79a55ea83f8f76c9cb818f40150b822d7bdf88e,false
4ae38781ec55b54db48b55c8eaf6eee4350dfa15,false
05a9ea6d1904828abe889172d0bb4f252d48b8ae,false
cd59bc71920df6900fc531682d8aa219c215d524,true
0241b4579953c5aa33fe4900fcaa14aff19b9ace,false
2e8d7ebe3e34189c6495b6f4d2d48203f4e5f0fc,false
