hash,isBugfix_mistral-small3.2:24b
5f4544ccf5c90a448daf92441d54ed261a69730a,false
81bf27fa2024771d4f6c2a967923e98d5b14bd23,false
0ab2efcdd26d70ce80f21e167f8070db6730596c,false
71f12018282a6139e19e029f661e3f434a262620,false
afd7d52483c64f9463bca20b8bbf168f43249162,false
14356e27209f09ed0524e02a1abf5b4ff52af69b,false
f5622952806ce0d4e9b6edd580abb494a513aa12,false
2635ca0d59637f1a440e290082dbaac4056e58a6,false
de5dd54a1077dc9634406b2bed18ec3db997442f,false
4e6f58bc0a4725697558327938af4b916e43ba8b,false
ecbebc507871899f7933b56d73a38e60c0331e90,false
d292bca5274acc252f9d3e232d6725df559f4325,false
8275e94395b07d496aa71b6eb15c1e3a099e6324,false
ca03aefe78ee1e6fd6b25a2efcb8c392e9b61932,false
f5c19d78ee0acd4741a4b0d5d801928a93c9054b,false
df921bc32a1ed3f4134f7a61bd49521d591a9674,false
b5e4d3af109bc5384e509ffff2a4934e3d6a2b9e,false
3757be826d5cb97d379036980d391f93d247d01e,false
ed12c9be69e84b6815b802d8e948c7ed7aefd923,false
e9bc8edc6900c91c8bbb1fe1097fa3e31012bfe5,false
20f62e58a5472ea5a48dc3390efe1c67a0f5b5d4,false
c657cdf235293effb1265eb553153a4bb4a5e2ba,false
c3c780060879e746aca4e02d3918888117c75c40,false
2bedcc654e0a9d6e7ad53b720b9993f88dfa5821,false
af49d82c40825c66fcaa6ba4ef591e2e953e2b23,false
fb4d03d9ca171fe5bb9702f4da12f9126dbe9675,false
192142e6e48210b599b7597536e960dc96456c83,false
0a1f370d30e3ca29bcc5f7f47a906b8992896595,false
fd8dedf419703c9458e851a81d7878a374caa2a7,false
5bab513ec7e7ad50d3584ecc0786fb5e3f075613,false
4df34ef21292ac071523741319d9d9538bdcb14b,false
bb7c95fda44734fc4f85bf2b8682bb11bbd2b4a6,false
f54eba0f0ec5cb3f9859570a84b165a303504f64,false
3be499f5b5ca71817d57b5ad7a12459db275a51d,false
f721e840d1c43e3805d0fc408ab2b0976e6df76a,false
055ad09e13516a1fa8c07e31f312eb9ba45d77c9,false
97d603db87552a95928091bbe708304111ffd218,false
29e8566dc5632246c3376f2d20a3771b24363b11,false
34d1738c2719d4e3c29231dfb8d0b2be6d313e97,false
7f076031681f30be2ecc96d4722b94336b603e5c,false
e4123d427bcd279ca259e62999651fff8beb5519,false
2f051b278ca08072c72ffda9aa566738932c0479,false
c0a1e39f8274d04b75a8eb47615a52f246e7281b,false
aa3ec34fba7cdf72390fbb2f914f43747e316150,false
685068d57227e0ca0a4e795e40fd5c9d99cef3ed,false
2273d9eaf149018ca6ae3908c5a14876ef945991,false
930d3038ba3e47834860af635d83070f8139eb57,true
8f1221f87b4bce642f99ae2376aad5c3b35f7a8a,true
80012fbed74234668aff8ae5e17c89b7a79e226d,false
869cce99928786712fe8114417141f3f7c93cf89,true
29eaf193532d8d68ccabe28d579a13782191e654,false
3c278e8d63218d0632c57693e86a40c2c1d30dae,false
d8b67f76b7a11f227413683303859a69a224c307,true
9374d1fe9d48050fa009d90b6ae64696dce5e35f,false
a1733a3a09206d302028682c8fb195cc4f43ba73,false
9a40f69e276b7bfcb4198a8f9972681b7b177458,false
9c4faaad91e6d721a2147fc4c49e48055473ccff,true
ccb90826cf583e3ce94a2ffe49f1a88b1ff8dc66,false
8305f65fc558b9ff9ad032f74e79887b5baef235,true
85edb2ea894090ff2508c92212e3ca0b85157294,false
75f2c6d81ab07f011ced2d6630e0f6b8db0975ce,true
fa4863fcfcd3dd2f548bba2ee62b0af1ec3ef9c9,true
a1051d73261c13b4a5b7b646843d7467702b062b,false
