hash,isBugfix_mistral-small3.2:24b
a18ee58f7a4f56cab6ba4a8cacaa70c4c76379b3,false
64c349093b948b2dad7457bb0e831b742517cbee,false
05e250bb960f87d2eefc623a5aa519422a682f33,false
e409cffdb18458d3d9ba9d43a2ef55a16f6fd415,false
80794485c00545c27bcb2f150a076f68db17d8b6,false
8d87c4ab285341d2f401631c5c60d3178daf7d7b,false
dea7c9d2ceb3060c13c6357e80a8e6b78118ee53,false
10e4ee88a8b708f36ea7490fa28dd105b9cd3081,false
241139a5f1aae15dcdb0db4689cef7b72cd5c319,false
cb42c19d76604980e91068d4d3f124e568b43178,false
9e7ca8b6893acfdfc4940fab46cd1b7bbe31cf24,false
7db3200c132784609e76924911316d8c0972408c,false
1652c1dcf340bb91f9802289793232932ce94a51,false
01de6b4d1835b88ca5ed5fdb29adbbc9fa5465f2,false
430a98e9ad1c0163d0242d3358f7ba59e0dbc8f1,false
7a726c035c214f24b6da0ec6400f3e17b09b788b,false
3b4e3b0e42c53aef14ef6550b238e3ce658b2e11,false
89912be500187526b1f093377ee0f18212354a10,true
09ecd14764ab31534f0769855ac2d56aa394141c,true
463b927813c5250110c819d10c7b61561d402393,false
65cfcffa6f8de0e6d51f4eec139082a0fe7e5e7c,false
0deacd8fc6e889e62774776640ca64b8f201ec00,false
f7ce2062122cd0b4d06843ba4488d1ab65c79fe1,false
9b3dc57447cf449cb4dd6491771feabba6d7c077,false
b1aaf5abe53282e0f43b77bb97f034191e878c34,false
36cc010a87c1cbc96f504540f1418c3c5fde96e5,false
09fe7e59416eddfd566edee4d29a308474b42db2,false
12ddaccaf7acab3bbe47f48236122aeb5a823337,false
1aa439311b520ca54a8b917891cbac3cce23c28d,false
95fbb810e252b65851e0dc7189ab1820b6584b72,false
271dd7dceeab5719f1c6e8ee178242064b80606a,false
d6f01bfe9a0cdce533cf7a0532aab663f224e243,false
a6a83b1fcdfafb044115bc878420be275bf991ba,false
1b36c684d68f093b1778f988a2a5974c642021fd,false
d982c71efe4fa099a3fb0f744943e001cd8607c9,false
7389dbb56fcb71813f25e977bb81f33a7a1c8858,false
0e4ea95d743e40a508210067bac741a21b0815ce,false
2a6a3b76b7104ebe9c17cf57266d862e022b6e5d,false
74dca951016b7e1c715a0ba71f80daed64040d6d,false
3091da64bcb180b8117bec61fc3e9f6642dd2878,false
9928073e48ba569ebeb40483189d4ebc0182fba6,true
ab3852d2e4f78b6023883aa5e297e0ac55329542,true
525985b1f278b34fdcca95077a94f07f3630f010,false
7348820cafa55821784491839a3faa0126d1aac3,false
4ccc703fcf46646955db8d7803781f4f2c545293,false
b54c7909bd3f9deca6b0ccee6ca8c715d5d025ea,true
bad6712338a9fd98c1975a46d26a8b94d28b02fb,true
625aeab39834aa255ed40978919566f259ea858a,false
ce82979e2b57d5d87e553c4b4593c4b46f430561,false
16273a19816f55383ce0ba299257676b15d95e15,true
e18579164f55b6a353f5e9120732829354341a91,false
bce65f7db140c4ee6de01680743bca31a9d6a081,false
5c03c2d77ecdd0f2eda9e2bfe4f0917be350a28a,false
