hash,isBugfix_mistral-small3.2:24b
2fc23d2ae7df64f566dda324aa7b814929ec1ae4,false
dc22216d7d4bb0f2f3c8f0b874cff27236464caa,false
942e536a844d66cd5762f43678427940d2ba1969,false
fceb11b923c8665f319e35eb07793f51a5b15cea,false
34eeeadd7ad6751066ac3537a98acc372b39599e,false
cabb22074b4663eeabb768dd41ebc221eb3484dc,false
b820d3f99fe1a1d2592cb5084126542e4d5090e9,false
e2f3ace335dcdba705be20161e72ce5195105158,false
c0ad62f5f6611cdbc6aa7ae3bb5f6f892bf754a0,false
b3552c0ebbf4c1c6d201158ecc260d8f966309ca,false
8a379db8b9120da0d7e6ece4eb16707eb2b26793,false
99d777efa2cb161004921ca412a5ac80588357f2,false
29040cf94f74a6784464b3ed76132a14b0e00172,false
99d2400f0489ceee92d4b2f715f78aedb5d0881d,false
55d1c53b7c4d3332dc6831b74b38824f71d409eb,false
39cb9df34736903de2961c5352909a02910dd87c,false
d6dedf4f03c398aa0116ab3af579239a2d4781e2,false
8ab519fce31626c0036c6dadec45749aa7e5f8eb,false
ecc2ed31e448f83d2a2b68431d4b5c40ff84ff51,true
aa1dbd886bf2bcf7f61ad14bd84d9c3c9b761fd3,false
48165cb73bab3292df8515f5075b1beeeecdb5c4,false
c5c30c644e9bd13a7351c8d0a476787c97be88f3,false
891065b16f4a83f58ac394e1294c0f3cce6fe31c,true
83757f662349ff02bd7cd3590183214e934a6c80,false
e449da4ace64de2fab52b25570ee42fa2bb56f68,false
2c5efc41d4b7e39bf089fcaf3e3516c66724e8f2,false
e2f750af176409a4ac8b2ccf17f84dc9d89acb6c,false
973320d55ed11245f5a5bc67cffcac218df81231,true
4f15b5a7eab88795563b7e34f15a3ae2c37379d7,false
2dbd470113b1444da27eb11c4f7f18dfb1ac918d,false
1ae36108d2cf6271e6414061c4f7997c0a3fb674,false
8289d129d6b08dc19ff5586c68d2d599ee59210e,false
c26b068e2611bca9b841ad6ce557d2ad61d28a86,false
17a0b03673e282d398c529c80940df4f092a8280,false
865384792aa3891e474fb5293ff6b1655b52706e,false
7ba7a33ec449c0738f5a3b2d730c34d3bb3db13e,false
04fb8575593f59cd0ab9daeb8dfa99c6900c9d74,false
6cddd3275749b6036f12e4536bb45c5570abbf62,true
760da0274643b3b97370332ee513d440d694d1f5,false
0b157e3421daffabf879676bd818f678e0998399,false
70b393b072b9f2f82ae425c1027afaef5ede1094,false
eff751605a3621c7c65082dfafc1aa19f5c1712a,false
8d32ed3e14f9972437a09e404e062ec79c49b8e7,false
60a5ba59cc85d2f38945c3e42932df02608a2ea8,false
72bb8ff1209d22bde1aec90d1e8f36647d6e8301,false
e0e0e4e208a77004c38c01ff8ebe57a1a4ce8a60,false
68f9e31ffb0bbe8489aa126e385398b610e21e25,false
a1580389b90e90ce1707432e5b792bea7b3610e8,false
0563f431b4dc607d8d1c1cdbec205e0c273c01b7,false
ab4064c2cfe5fbd444f12a8f8f53bb5d0950322b,false
528a1913a9d93c27e434e6069273086ec5591ccf,true
24af6e720152dff897248c677404fd406b23a991,false
3f0abad152f7d4d3a7c183a1f8e52b3844afb87d,false
4c700bba6fec7792813bae58faae21f86f7c6e4d,true
31ada7c14bc4cb19078b999ba819fa0316769e45,false
5ba3baae56093f7ec1b7b963cdf37d20b6c2d049,false
6c02378ae7f83cdb4d42a540dd5092ed409e82f0,true
327693804d999b8c0b301ab1f84fe48a224cf1a2,false
c12bb594609793c72b41382d50eb442e505f1af9,false
fde2ce89abe09a3d8ded603bdbcdd6c67a534143,true
90bc607eab673097c95ad79fcb1acc5a87db7788,true
8b0eff7a0471c5ac63ff132314abac3df6e682e2,true
7d76580edc80a92de9f5aaaeb1baf0d210c34f62,true
0ee8bc8edbf28cff9549544fa864594bf0b26717,false
2a94351c464dee51932446c97f0a3f5aab84ca81,false
fdbef52c125a72552688d73b6fcdddcd32db69c5,false
883237c66913a345393c6e56fe161fd7aceade22,true
eebdc66d3ecf045a247ffcc59a16d71ffb8ba0d5,false
31033a50ba5d2889ed0af14a5e3c08c96023345a,false
320f6bd8f255a497ef0cf989b3f2d0de11e1c7de,false
3b45c65a34995cb5daa184ac8f1f8196743b6a67,false
35151ba404a045dc375e57094ae0a922fc74afd6,false
001b8d59adbba60be1d9edee6947ac29f510b1ed,false
121448da33e74fe3d58bdb88f3dda9ce707333a3,true
01572afb71127e45780a10d7d6bb0673bf05c980,false
3ed2637da26ae530e4ba166cdc1596c675a3b9f0,false
cac83dd1ad7adf5c4b51bc958242209d6113bbbd,false
f370ff9da89ffc50a67375b525f70e4556f56f27,false
22ee529bae6ecb0a7233db90c32fceaf3e309787,true
57a86da7ab050837f7f2d9340d37d428ae11d31f,false
fe59693c6d6f7f9ebb7adcfa2c373ab87d4abb15,false
2c43dc8f22ff9899cd48435fef88d70deee9f6a0,true
687386610f3e8c60e275bd73b0479ff2dbb9e30b,false
b4c22fd9ca8af79a6ebcef4de9bcd06b09635a54,false
