hash,isBugfix_mistral-small3.2:24b
09f3abf08ff6a6c3fe3b3aaf5a84c78d74a3e4b4,false
5874f5761564a5813d79d0e6ba8ea6f95b5cdc82,false
2a498de1f9915bcd47945af558d493b359a53c35,false
1d53858c430e00bf0fd023f1a13ac0d226b09644,false
521c226b99b72aa93d93cc626a9711dc43354fb0,false
7bf8f00987da379f3d6706e173b9c2f4c44822fb,false
463f4e77d436f5b791ea297a6a69198d9a7833cf,false
acdef8f45a28fc75f1e839759288c4f8e76efbe9,false
486122ed0c7e63f84df779534e0d8c59d3ccb28a,false
8382500f9bd3629c958e75fe32f53142a165e1cc,false
db1644df039b2836f6dbf20277499acc09c57d52,false
79bcd2007b255c777dd71372085ade229f9378de,false
80c51d94a055d14ff371c3ce6b6f839bbc5f3bb1,false
c19dc17b333013faa31eeab71d7515cee31acfed,true
689e315bd3a87a01a20f320ec7f2d38a4516ac67,false
3974efdf1f3c9150cb29ed15c48b95b347abc322,false
4918a888b7e41ee19b87e5a2ed53d57eaf78489d,true
b043405bf65f0e85496e0d651ec2bceb300e552d,true
a6c687eaa7de16256730bc027fd1ac79ad70f1fd,true
17a5717f63dc308d79c15885a0a730c919a2c480,true
e983ef68278596c17f1c8eef10473900949b0372,false
067f643555c503f246034e5107150e77370796fc,true
30d54b1d42d02ed42f5745f243389bf2ae913d54,false
ac7e92ca7b2a2b9239ee3562d6515ea326759b28,false
688434009721815829a04bb4c53423b22bc43f58,false
7faf32ec23d4dd0f416277afb62ec55f36dc16ce,false
b114ef3c06e94311f885812967dec9ffa4accdc1,false
529a378041e377f957a7ba040ade7cdc669a5fa8,true
8ba92f44fd0557565b65a2b8e6c19b7cae85236b,false
932e8c8cd2680b850591d5067094a0e250bcabe1,false
9d4bcf1367440bb7d03aced181d2d5d06081dfe4,false
22051268a5b5207e3b2b3a631886b2bab107e36e,true
e9af147ba1469fc346186e4a8911b39d5e157a71,true
8364237098cbd471996ebbfcec0d7caaccbe49e6,false
5aef9d727b6a9697278f56cc3f5511a14e19875d,false
9d9cc86abc2cb1cc059a733c4b4b83658591ecad,false
90ba75873eeeeb23ed62ebfddce8cce3ee4efee8,false
a361ae1a58a782d29dec362bf180747fce78c144,false
f11d9d9da99fc8d09912c7a6f86c531c728f28b1,false
02c3baba58122da29d1c435a7714bdb8b375e65a,false
5803a9411f0bf26771ab34ea9a5f1b8fc2aa7ceb,true
