hash,isBugfix_mistral-small3.2:24b
12d09b630724c78e67918471e2ce38ffeab536f9,false
2e3a27dbef0e138d29440717e1ecc50eaca72113,false
4e1b6c70227464905fc6200d4a45be56f2b89035,false
9754ac91ef0133df8505f20842e01a20481887d7,false
728e305e8f7555d4ab01b2499cea06f3505a761b,false
cc5fb070be4d0831363f6fd96c600277c3ff3fe9,false
5e54f74c49284c86c6cc79d02f31e55d4df594f1,false
a77a1eed90ad3afed53bda3127ea37c8762a799c,false
8fc4e20da7d511612329d05903bc99c8e8a49018,false
6622eb80436e9d23399a3efac1e15ddfcc4f3e17,false
7309665c5defcc4b2fb1f5ac3ed6b1387a978402,false
b59546771a60793ccabe76d3e63104b2ce310c4b,false
244ad402651f651e88cd1133ac5a4bb186652b5c,false
afdaf0efa98cdb95a6269f65018d86c956665af4,false
3b73475b257f8d5351125cef1ff94b6373424799,false
1884c0ea2feed9593e7ed0db743588fc1413eb56,false
00309853b421c75c7af106342ad8295dead38840,false
adee445d86bec071df7985ad0c40750474517ec5,false
3f48405f7bc68535a5e61e2c19589b50afd1d4d8,false
80c76d1fe7cc3dd3c451979e5647165e79c09785,false
b479e573fe18f815278821cd520f7dbf5d9da4b4,false
f27c58a3b2e02bc5b9eef10b08bc3998c53309aa,false
46559c260f6b3d69025c134be0bde39da957d406,false
6ba0f5dc7eaa5dc1f6041fdf5ba40d35e421c179,false
b6697f17004cb6491886577bc827e8a250ad68c2,false
3ad5459b567f9d9e472d5ee3bbe8bc64fdfa93d9,true
c542ef406dc5626b1a824b8c8a26a4e4ae2d2860,false
6c07efe7901c325ecab99a8456fd5859344dc7fc,true
50a47bab6b62a52d1cae4cbc7e4bd5a1ef91f29e,false
0c70632d19a1451d5e66113027c5bc9ae79c4718,false
a6dc3a2beb57136bd19551aea9757aa132b5b57b,false
ffc4970b43d577a3e63deb8e030ed2f612d9c9ed,false
1210551605a170d0205288fc3bc6f9c3c6820f4d,false
b8955bbb672f0a2ddcbba498987223ad47a0e362,false
445dd03c685ba48b81cbc5ab769be1bd76643d7c,false
f247e9ab50abd85a6a8adae765d160b9ae8dc45c,false
3554ce0faf965871ae5bf37e00289e592f7f4f07,false
1c415aa8fb6246299c80e80e95d2961aaf332cae,false
3e522e51e32ce5423b2175b4220a92d1998f9d8e,false
f204bac1931402dff3934760fcb5ec7570717e24,false
ce7c93bac32ba3d826b175d90a61f8497de7aff5,false
17db1e76a593618b0dd9ffc0f47189938f64a8c2,false
29702795d8d41498707a6c77060b6e2d81b498fe,false
563b960d75bc00946265c1b925ae47f55eacea6a,false
80b18d415b7a4d75e38c65f6c53f424987ff52c8,false
0a7b238d9bc009b51e41a1b204d73fe8e9c93d36,false
d2826b37b0506ba47d7b0baf275e0316425ad52a,false
e79c4ab7fbb0dd3119cc6764fa126ad141e48fac,false
7c84a97d276c037df06572b96e36c419d2305ffa,false
188f783e81208d3bf24168f76542fe4273c3b167,false
13dba8f70727706e44c4e36542a95129a64fb52c,false
9cb3f921afb872093aca99284c992f79673f20b3,false
ff68b3e82b9a1acb52df592d56a169fd68544bdb,false
f49f7a0dc08e8d67552e180685fbc20f37bba78e,true
f16ed3a7ec7923250e5296a88714440abe65ad59,false
beb2c8373428489482e85de4e36b64dbee1a93e3,false
2e9f47e069cfc24aafcc20eac04c65bc057b428b,false
e774f584cfee7b95ec96c8acc4422d0e313e544c,false
16c95b04219112191522fedc0d9b551611274fd4,false
13a00dff89a121c3c229d89613a7433c035df8a8,false
c0319df182a77f4ea18cd8807f99bdd7c5610f1f,false
3bdca6f6b94f39067420facc878ccfb20cfdf293,false
5f7abbfba0c008539542039796c46341ca9933ac,false
e564c6caae6426ee39223abbfdda703acd19dcbf,false
906c76d05352f3896c766985d6a07f86fe798f6a,false
aa10f5057cde1026ca914cb3e0566d357bc19273,false
6247ba2187f84642674a8da01cc65819c8c6124d,false
06702172e35175c304bf9a8d899e595c392e1772,false
f4111574343fcba76c3a985cbf028764b7616910,false
30afbd0aa0d3deb177d9f2eeb8a0110691d8e236,false
20e2b97ca24cdc6aa3ca4be5a2887fe398c99d35,false
66e051630450df3edc2109015b3242955a92e6bd,false
a71a6aaced4a8c260dc5fbef2c0a63dc0107ef88,false
fda9c5c982f6e0b153914c1880465be9e506a202,false
eeebec91ce12dbf7135a6b04a01509a2f8a506d3,false
45b9a4116d1c996c3460b537333c33bd7da83276,false
a1a3044c3dadf4f87f5490ac814420d6e3876c68,false
7a890bfe01490cd9a6007eb36dc4db32986e3dcd,false
208115f9a0605e8b3bca6896a6a2e46e518d2059,false
