hash,isBugfix_mistral-small3.2:24b
04007f6557f02ddee870035598c201a4bc4ec086,false
48696324116df2c5006633a42f12a8ce17632911,false
ed87c458b4963c8151eac40cdb4393d4dc83b840,false
c9d85aee5dfbb70e3d52880709c28abfaff469b9,false
826388fed2c9d63092248f0e1bdf525f06a7bc68,false
544e8a59a432be2cd5807ad0f85e7f487224bce1,false
3f47a396b678a28868faa8cfe6f207d6a1e5778c,false
2ee550760d01e8fa0c4908f424392c5adab7f04f,true
3503f1ae14743df498382d81b7fc64bbb361483f,false
c2ef6a286eb4f0fddd1d9671d64b9b5baf1026c3,false
a23c832f3f0becf96d51bfc1fb071d5a2350a177,false
245498325356108ae0d23c63012a58341a28ddd8,false
89ef12a19375867a0866681f768a7740bdea342f,false
d4d059eb65da7e7ee833d984711c3db7c133710f,false
6474d5fc70e3d773ba862f24f927ca2b2196a110,false
6c1133a1839776e13ab57757c423abc015c78997,false
1a325006ed1f62e81e6fe727b64aba9984ba59ba,true
4ffa2068fd0b17fed3f9bd17700896314a04ae52,false
a4eaf400a19af6409fea70d2fd548c999096a818,false
fdb8ae6eeb1644cb1ae231c801e63fbb39d9f789,false
dfbb040fad641f8415d3e122351322383818d9a6,false
e3958d0dcb62cae9e040da768cb487743db03a8d,false
5dbcc23866cfe5511fd0b211bb5638bc5e83166f,true
b872c0f7d8d844d7dcb31ffba19f0a029bac64b3,false
02150ac92f1e6f87544bdc1a2d497db3f5db85ca,false
680ca7893b9851aac398c999233018eba182cc40,false
642de8aa8774b7a293ace733144079b840c5e0c4,false
acb31bf956c69d9391030e30615ea9e93f7b4a71,false
90c834626db006640210e90d9684f557f4dd9cfd,false
ab8e9a62c8343b6bd87d9d58801d94e0a63ca797,false
ceff3cb262c3d782fcf85209e2f5ae2fc5c64395,false
47516b463954bf417efc90690f5a93f93f1509ac,false
599a94da53277c1deb7da9ef84a371e964d5ce45,false
10e97cd6815dc30df543ec805beb6dd69ed45be0,false
7b583fd04d0773c5998bd07f276fc3cded353889,false
39b01a67c68479987920479511938d28be91fed3,false
4e3ea3d75225d8a0fcbdf4fd0324f036b3fd666b,false
419dacda0e65186d468732da889402226c65f856,false
f4210868c3f3b1cf9be213bc8b893ed231310c15,false
7bfb86a0f55c6176da630d01e1197d3c69a7e5ad,false
28f7e60e429ff25c538bf4ca0249bb45e28b25a6,true
631c387b60e29fd75e00df8815e7b4b0e75d2d9d,false
3106ce5dd95aaa5cf2c23e9f6e611830c735567a,false
1da01dca8b0b7be64a60a4cb820eab7928ddb8d5,false
dd925919a84c942c405fe2e2fc5bc6250014203d,false
f97f2ae50a769284f3a5e113d27d1b714a9a4af3,false
b13ca6cf84c29790d674dc29af644d186f5c2a14,true
4e753f3f0e773c552eb992f0a01081fc761f5f08,false
a43e3629d908f34a89f18a02f66123c64f3981fb,false
c972ed0898b7a3f80ddd014e1b755b34f8815e05,true
4156b55b28bb5e5024deda8cd8f01efec1285322,false
a32cfb1477911499d8799c13c035b4cade4ac94e,false
368459a75f8a8e26e49078ad8437600ddc62c140,false
def14e6c1117b5bf04df78f9e87972e65718f0d0,true
616ee7d5dc8ef1d59c3cf8f1ab630a29b59e9bcd,false
e8dd3a765e8d2214602a20f1cee8a6e6ffe135e4,false
bb0fc58f0c8fe95b4bbe906cd3cc33405e1c0b59,false
f3c48e566b672e61eba7f61435516cef965b6820,false
ed15a71f7377cbd55a7958a245f8b9b62e357958,false
7fb0453e3381631bb18fe7c6c21ed9cb3fe9f4a4,false
df189ebbc3f32569fd4bb78d17088a46e0b2e5c0,false
942d07f5b25cc52eb46b7dc4a9fa240c0f11fba4,false
cb90b9cea9610aec83d81a451f0770aeb0250299,false
1803a2045f87778e2d9de807c60e2d9cbfb2579b,false
6a33e0244678ec191fe53b4a8fa1f0393de637f4,false
294a05b64d26312e2cc7c9e65a0a904f54f4ad1f,false
26266bdc1bf9c2ddee0a24f0e4d2bd457ce08cfa,false
c9be2af2f5a82a4b5d5fc61fbc9c996042a3fc54,false
9b395bab0fa4ba4c99e27cce2ae4d4acc38fd2b6,false
c2b7b73580a9fc90c2c9f728604f9c96e8b0b640,false
8c35e9ce5bc42e6359527f3b5602ce4f9dc764f1,false
de824b37a52620c610cb989bb7cc4f781e8f191a,false
ca85d20c73428b673892e70ae9938d93a2a734ab,false
f9773bd8f14d2fdc3037d35519e7c4b0208c0193,true
3e4b6cb3dacf95b8fbd3d1e244bb27e4ae87b71b,false
e4b016c20190f4c694ea7e9be6925693adfb5f77,false
bdb189ad86be1bace5a88b8223c6184e510783bb,false
fa5f044bfbab15a981d9462a2673698586bbaff7,true
4cda353b34ca943c83fcbe3de243bb6b47b309fd,false
fc972ef8757d095036ba3fbdf67979b33345af79,false
97dd95a83e248a197d0397e14f7b32703b181d18,false
6ef650a6cfa9601eb5650a9c82c84df0699aa57c,true
3e43f7ee3e171000ab8b3b482a6eadf641619ad2,true
0de148a5003e9c363a8fc9332a2f132fdbff1ee9,false
ca3bf5a6872a2c54a9336128faf22dbdce0ea11e,false
7674e877dadcde961cb424f933fe9444c9b8e5b9,false
cb9ff384ae3c8ddbd1c01dc3ff1ee686123fab62,false
7f7095bd5cf53120eeed11dca34710588c6cd288,false
d2eec0a2b2bc11877b976125a0f13f0bcf7601d0,false
4b198e19a80a38c4ec7d0cce6c08599af32ac609,false
15d08ef5ddbdd4d3980a5f1008a1695c8e6565a5,false
